Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/18,AQS,370110002,1,2.9,ug/m3 LC,12,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/5/18,AQS,370110002,1,3.7,ug/m3 LC,15,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/8/18,AQS,370110002,1,5.3,ug/m3 LC,22,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/11/18,AQS,370110002,1,0.8,ug/m3 LC,3,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/14/18,AQS,370110002,1,2.5,ug/m3 LC,10,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/17/18,AQS,370110002,1,4.5,ug/m3 LC,19,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/20/18,AQS,370110002,1,1.8,ug/m3 LC,8,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/23/18,AQS,370110002,1,2.5,ug/m3 LC,10,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/26/18,AQS,370110002,1,4.2,ug/m3 LC,18,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/29/18,AQS,370110002,1,1.7,ug/m3 LC,7,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/1/18,AQS,370110002,1,5.7,ug/m3 LC,24,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/4/18,AQS,370110002,1,1.2,ug/m3 LC,5,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/7/18,AQS,370110002,1,2.2,ug/m3 LC,9,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/10/18,AQS,370110002,1,3.3,ug/m3 LC,14,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/13/18,AQS,370110002,1,2.6,ug/m3 LC,11,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/16/18,AQS,370110002,1,2.3,ug/m3 LC,10,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/19/18,AQS,370110002,1,3.1,ug/m3 LC,13,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/22/18,AQS,370110002,1,7.8,ug/m3 LC,33,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/25/18,AQS,370110002,1,4.1,ug/m3 LC,17,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
2/28/18,AQS,370110002,1,3.6,ug/m3 LC,15,Linville Falls,1,100,88502,Acceptable PM2.5 AQI & Speciation Mass,,,37,North Carolina,11,Avery,35.972347,-81.933072
1/2/18,AQS,370210034,1,6.2,ug/m3 LC,26,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
1/8/18,AQS,370210034,1,9.7,ug/m3 LC,40,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
1/14/18,AQS,370210034,1,4.3,ug/m3 LC,18,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
1/20/18,AQS,370210034,1,5.4,ug/m3 LC,23,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
1/26/18,AQS,370210034,1,8.9,ug/m3 LC,37,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
2/1/18,AQS,370210034,1,10.6,ug/m3 LC,44,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
2/7/18,AQS,370210034,1,3.7,ug/m3 LC,15,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
2/13/18,AQS,370210034,1,4.3,ug/m3 LC,18,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
2/19/18,AQS,370210034,1,3.4,ug/m3 LC,14,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
2/25/18,AQS,370210034,1,5.3,ug/m3 LC,22,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
3/3/18,AQS,370210034,1,2.2,ug/m3 LC,9,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
3/9/18,AQS,370210034,1,6.7,ug/m3 LC,28,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
3/15/18,AQS,370210034,1,7.4,ug/m3 LC,31,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
3/21/18,AQS,370210034,1,2.1,ug/m3 LC,9,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
3/27/18,AQS,370210034,1,5.1,ug/m3 LC,21,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
4/2/18,AQS,370210034,1,9.6,ug/m3 LC,40,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
4/8/18,AQS,370210034,1,3.9,ug/m3 LC,16,Board Of Ed. Bldg.,1,100,88101,PM2.5 - Local Conditions,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.6062,-82.5844
