agency_cd,site_no,datetime,discharge_max,discharge_max_approval,discharge_min,discharge_min_approval,discharge_mean,discharge_mean_approval,gage_height_max,gage_height_max_approval,gage_height_min,gage_height_min-approval,gage_height_mean,gage_height_mean_approval
USGS,2085000,10/1/04,29.4,A,23.0,A,26.8,A,1.77,A,1.67,A,1.73,A
USGS,2085000,10/2/04,111.0,A,23.0,A,36.3,A,2.58,A,1.67,A,1.83,A
USGS,2085000,10/3/04,111.0,A,38.0,A,62.5,A,2.58,A,1.89,A,2.14,A
USGS,2085000,10/4/04,38.0,A,32.6,A,34.5,A,1.89,A,1.82,A,1.85,A
USGS,2085000,10/5/04,34.8,A,26.2,A,31.3,A,1.85,A,1.72,A,1.8,A
USGS,2085000,10/6/04,28.1,A,19.5,A,24.5,A,1.75,A,1.61,A,1.69,A
USGS,2085000,10/7/04,21.2,A,16.0,A,19.2,A,1.64,A,1.54,A,1.6,A
USGS,2085000,10/8/04,17.0,A,14.1,A,15.6,A,1.56,A,1.5,A,1.53,A
USGS,2085000,10/9/04,16.0,A,12.8,A,14.1,A,1.54,A,1.47,A,1.5,A
USGS,2085000,10/10/04,16.0,A,11.6,A,13.8,A,1.54,A,1.44,A,1.49,A
USGS,2085000,10/11/04,13.3,A,10.8,A,12.0,A,1.48,A,1.41,A,1.45,A
USGS,2085000,10/12/04,14.1,A,10.2,A,11.6,A,1.5,A,1.39,A,1.43,A
USGS,2085000,10/13/04,97.3,A,10.2,A,37.0,A,2.46,A,1.39,A,1.81,A
USGS,2085000,10/14/04,83.6,A,40.5,A,61.3,A,2.34,A,1.92,A,2.13,A
USGS,2085000,10/15/04,40.5,A,27.5,A,33.8,A,1.92,A,1.74,A,1.83,A
USGS,2085000,10/16/04,28.7,A,17.0,A,23.5,A,1.76,A,1.56,A,1.67,A
USGS,2085000,10/17/04,19.5,A,13.3,A,16.6,A,1.61,A,1.48,A,1.55,A
USGS,2085000,10/18/04,15.5,A,12.8,A,14.3,A,1.53,A,1.47,A,1.5,A
USGS,2085000,10/19/04,15.5,A,12.4,A,13.3,A,1.53,A,1.46,A,1.48,A
USGS,2085000,10/20/04,32.6,A,14.6,A,26.9,A,1.82,A,1.51,A,1.73,A
USGS,2085000,10/21/04,32.6,A,24.9,A,29.2,A,1.82,A,1.7,A,1.77,A
USGS,2085000,10/22/04,27.5,A,20.1,A,23.7,A,1.74,A,1.62,A,1.68,A
USGS,2085000,10/23/04,23.6,A,16.5,A,20.6,A,1.68,A,1.55,A,1.63,A
USGS,2085000,10/24/04,20.6,A,16.5,A,18.5,A,1.63,A,1.55,A,1.59,A
USGS,2085000,10/25/04,21.8,A,16.5,A,18.8,A,1.65,A,1.55,A,1.6,A
USGS,2085000,10/26/04,20.6,A,13.7,A,17.4,A,1.63,A,1.49,A,1.57,A
USGS,2085000,10/27/04,18.0,A,13.3,A,15.1,A,1.58,A,1.48,A,1.52,A
USGS,2085000,10/28/04,15.5,A,12.8,A,14.1,A,1.53,A,1.47,A,1.5,A
USGS,2085000,10/29/04,16.5,A,12.4,A,14.3,A,1.55,A,1.46,A,1.5,A
USGS,2085000,10/30/04,17.0,A,11.6,A,14.4,A,1.56,A,1.44,A,1.5,A
USGS,2085000,10/31/04,18.0,A,13.3,A,14.9,A,1.58,A,1.48,A,1.52,A
USGS,2085000,11/1/04,16.0,A,11.6,A,13.8,A,1.54,A,1.44,A,1.49,A
USGS,2085000,11/2/04,16.0,A,10.8,A,13.1,A,1.54,A,1.41,A,1.47,A
USGS,2085000,11/3/04,18.0,A,10.2,A,13.6,A,1.58,A,1.39,A,1.48,A
USGS,2085000,11/4/04,67.2,A,12.0,A,40.0,A,2.19,A,1.45,A,1.87,A
USGS,2085000,11/5/04,68.3,A,44.0,A,55.7,A,2.2,A,1.96,A,2.08,A
USGS,2085000,11/6/04,44.0,A,26.8,A,34.0,A,1.96,A,1.73,A,1.83,A
USGS,2085000,11/7/04,29.4,A,19.5,A,24.1,A,1.77,A,1.61,A,1.69,A
USGS,2085000,11/8/04,24.2,A,15.5,A,20.4,A,1.69,A,1.53,A,1.62,A
USGS,2085000,11/9/04,20.6,A,12.4,A,16.7,A,1.63,A,1.46,A,1.55,A
USGS,2085000,11/10/04,16.5,A,11.0,A,13.5,A,1.55,A,1.42,A,1.48,A
USGS,2085000,11/11/04,15.1,A,10.5,A,12.8,A,1.52,A,1.4,A,1.47,A
USGS,2085000,11/12/04,586.0,A,10.8,A,84.6,A,5.37,A,1.41,A,2.07,A
USGS,2085000,11/13/04,601.0,A,189.0,A,356.0,A,5.45,A,3.14,A,4.09,A
USGS,2085000,11/14/04,189.0,A,89.2,A,130.0,A,3.14,A,2.42,A,2.74,A
USGS,2085000,11/15/04,89.2,A,52.5,A,69.1,A,2.42,A,2.1,A,2.24,A
USGS,2085000,11/16/04,52.5,A,35.6,A,44.2,A,2.1,A,1.92,A,2.01,A
USGS,2085000,11/17/04,35.6,A,28.7,A,33.0,A,1.93,A,1.84,A,1.89,A
USGS,2085000,11/18/04,32.0,A,24.2,A,27.8,A,1.89,A,1.78,A,1.83,A
USGS,2085000,11/19/04,28.1,A,20.6,A,24.1,A,1.85,A,1.74,A,1.79,A
USGS,2085000,11/20/04,24.9,A,17.5,A,21.0,A,1.81,A,1.7,A,1.75,A
USGS,2085000,11/21/04,26.8,A,17.5,A,21.2,A,1.86,A,1.7,A,1.77,A
USGS,2085000,11/22/04,18.5,A,12.8,A,16.3,A,1.74,A,1.63,A,1.7,A
USGS,2085000,11/23/04,137.0,A,12.8,A,40.7,A,2.92,A,1.63,A,2.01,A
USGS,2085000,11/24/04,144.0,A,106.0,A,118.0,A,2.97,A,2.69,A,2.79,A
USGS,2085000,11/25/04,117.0,A,90.3,A,109.0,A,2.78,A,2.56,A,2.71,A
USGS,2085000,11/26/04,90.3,A,51.5,A,71.0,A,2.56,A,2.2,A,2.38,A
USGS,2085000,11/27/04,76.1,A,37.1,A,45.0,A,2.43,A,2.04,A,2.13,A
USGS,2085000,11/28/04,253.0,A,76.1,A,164.0,A,3.6,A,2.43,A,3.07,A
USGS,2085000,11/29/04,134.0,A,78.2,A,102.0,A,2.9,A,2.45,A,2.65,A
USGS,2085000,11/30/04,78.2,A,50.5,A,64.5,A,2.45,A,2.19,A,2.32,A
USGS,2085000,12/1/04,54.4,A,45.8,A,49.4,A,2.23,A,2.14,A,2.18,A
USGS,2085000,12/2/04,49.5,A,38.8,A,44.3,A,2.18,A,2.06,A,2.12,A
USGS,2085000,12/3/04,45.8,A,32.6,A,37.8,A,2.14,A,1.98,A,2.05,A
USGS,2085000,12/4/04,34.0,A,25.5,A,28.9,A,2.0,A,1.87,A,1.92,A
USGS,2085000,12/5/04,28.1,A,22.4,A,25.1,A,1.91,A,1.82,A,1.86,A
USGS,2085000,12/6/04,25.5,A,20.6,A,23.1,A,1.87,A,1.79,A,1.83,A
USGS,2085000,12/7/04,30.0,A,24.9,A,26.6,A,1.94,A,1.86,A,1.89,A
USGS,2085000,12/8/04,28.7,A,23.0,A,26.1,A,1.92,A,1.83,A,1.88,A
USGS,2085000,12/9/04,26.2,A,22.4,A,24.3,A,1.88,A,1.82,A,1.85,A
USGS,2085000,12/10/04,1370.0,A,25.5,A,830.0,A,9.84,A,1.87,A,6.78,A
USGS,2085000,12/11/04,696.0,A,233.0,A,398.0,A,5.98,A,3.49,A,4.37,A
USGS,2085000,12/12/04,233.0,A,113.0,A,162.0,A,3.49,A,2.75,A,3.08,A
USGS,2085000,12/13/04,113.0,A,73.0,A,92.5,A,2.75,A,2.4,A,2.58,A
USGS,2085000,12/14/04,73.0,A,50.5,A,61.3,A,2.4,A,2.19,A,2.29,A
USGS,2085000,12/15/04,50.5,A,40.5,A,44.7,A,2.19,A,2.08,A,2.13,A
USGS,2085000,12/16/04,42.2,A,34.0,A,37.0,A,2.1,A,2.0,A,2.04,A
USGS,2085000,12/17/04,37.1,A,32.6,A,34.4,A,2.04,A,1.98,A,2.0,A
USGS,2085000,12/18/04,34.8,A,29.4,A,32.2,A,2.01,A,1.93,A,1.97,A
USGS,2085000,12/19/04,32.6,A,28.7,A,30.8,A,1.98,A,1.92,A,1.95,A
USGS,2085000,12/20/04,32.0,A,23.0,A,28.6,A,1.97,A,1.83,A,1.92,A
USGS,2085000,12/21/04,24.9,A,20.6,A,22.9,A,1.86,A,1.79,A,1.83,A
USGS,2085000,12/22/04,26.2,A,22.4,A,23.7,A,1.88,A,1.82,A,1.84,A
USGS,2085000,12/23/04,56.5,A,23.0,A,35.2,A,2.25,A,1.83,A,2.0,A
USGS,2085000,12/24/04,68.3,A,44.0,A,56.7,A,2.36,A,2.12,A,2.25,A
USGS,2085000,12/25/04,44.0,A,33.3,A,39.9,A,2.12,A,1.99,A,2.07,A
USGS,2085000,12/26/04,34.8,A,30.0,A,32.9,A,2.01,A,1.94,A,1.98,A
USGS,2085000,12/27/04,30.0,A,23.0,A,26.5,A,1.94,A,1.83,A,1.89,A
USGS,2085000,12/28/04,24.9,A,19.5,A,22.5,A,1.86,A,1.77,A,1.82,A
USGS,2085000,12/29/04,24.9,A,19.5,A,21.7,A,1.86,A,1.77,A,1.81,A
USGS,2085000,12/30/04,25.5,A,20.6,A,22.6,A,1.87,A,1.79,A,1.82,A
USGS,2085000,12/31/04,24.2,A,20.1,A,21.7,A,1.85,A,1.78,A,1.81,A
USGS,2085000,1/1/05,24.2,A,19.0,A,21.7,A,1.85,A,1.76,A,1.81,A
USGS,2085000,1/2/05,22.4,A,18.0,A,20.2,A,1.82,A,1.74,A,1.78,A
USGS,2085000,1/3/05,21.2,A,18.0,A,19.8,A,1.8,A,1.74,A,1.77,A
USGS,2085000,1/4/05,22.4,A,18.0,A,20.2,A,1.82,A,1.74,A,1.78,A
USGS,2085000,1/5/05,23.6,A,19.0,A,21.2,A,1.84,A,1.76,A,1.8,A
USGS,2085000,1/6/05,23.6,A,20.1,A,22.0,A,1.84,A,1.78,A,1.81,A
USGS,2085000,1/7/05,23.6,A,19.0,A,21.2,A,1.84,A,1.76,A,1.8,A
USGS,2085000,1/8/05,21.8,A,19.0,A,20.3,A,1.81,A,1.76,A,1.78,A
USGS,2085000,1/9/05,22.4,A,17.5,A,20.0,A,1.82,A,1.73,A,1.78,A
USGS,2085000,1/10/05,19.0,A,16.0,A,17.1,A,1.76,A,1.7,A,1.72,A
USGS,2085000,1/11/05,19.5,A,14.6,A,17.1,A,1.77,A,1.67,A,1.72,A
USGS,2085000,1/12/05,19.5,A,14.1,A,16.1,A,1.77,A,1.66,A,1.7,A
USGS,2085000,1/13/05,32.6,A,16.5,A,21.3,A,1.98,A,1.71,A,1.8,A
USGS,2085000,1/14/05,2540.0,A,32.6,A,1160.0,A,13.85,A,1.98,A,8.15,A
USGS,2085000,1/15/05,719.0,A,203.0,A,391.0,A,6.12,A,3.3,A,4.32,A
USGS,2085000,1/16/05,203.0,A,119.0,A,154.0,A,3.3,A,2.74,A,2.99,A
USGS,2085000,1/17/05,119.0,A,82.5,A,101.0,A,2.74,A,2.44,A,2.6,A
USGS,2085000,1/18/05,82.5,A,59.6,A,72.0,A,2.44,A,2.23,A,2.34,A
USGS,2085000,1/19/05,60.6,A,51.5,A,56.4,A,2.24,A,2.15,A,2.2,A
USGS,2085000,1/20/05,52.5,A,48.6,A,50.5,A,2.16,A,2.12,A,2.14,A
USGS,2085000,1/21/05,63.9,A,52.5,A,57.8,A,2.27,A,2.16,A,2.21,A
USGS,2085000,1/22/05,58.5,A,49.5,A,52.7,A,2.22,A,2.13,A,2.16,A
USGS,2085000,1/23/05,56.5,A,44.0,A,50.7,A,2.2,A,2.07,A,2.14,A
USGS,2085000,1/24/05,44.9,A,32.6,A,37.0,A,2.08,A,1.93,A,1.99,A
USGS,2085000,1/25/05,39.6,A,34.0,A,36.8,A,2.02,A,1.95,A,1.99,A
USGS,2085000,1/26/05,43.1,A,38.0,A,40.7,A,2.06,A,2.0,A,2.03,A
USGS,2085000,1/27/05,43.1,A,34.8,A,38.7,A,2.06,A,1.96,A,2.01,A
USGS,2085000,1/28/05,34.8,A,27.5,A,31.3,A,1.96,A,1.85,A,1.91,A
USGS,2085000,1/29/05,30.0,A,26.8,A,28.4,A,1.89,A,1.84,A,1.86,A
USGS,2085000,1/30/05,135.0,A,30.0,A,77.6,A,2.87,A,1.89,A,2.38,A
USGS,2085000,1/31/05,143.0,A,89.2,A,115.0,A,2.92,A,2.5,A,2.71,A
USGS,2085000,2/1/05,89.2,A,65.0,A,76.7,A,2.5,A,2.28,A,2.39,A
USGS,2085000,2/2/05,66.1,A,49.5,A,56.5,A,2.29,A,2.13,A,2.2,A
USGS,2085000,2/3/05,187.0,A,50.5,A,77.8,A,3.2,A,2.14,A,2.38,A
USGS,2085000,2/4/05,191.0,A,112.0,A,142.0,A,3.22,A,2.69,A,2.91,A
USGS,2085000,2/5/05,112.0,A,77.1,A,92.5,A,2.69,A,2.39,A,2.53,A
USGS,2085000,2/6/05,77.1,A,57.5,A,67.5,A,2.39,A,2.21,A,2.3,A
USGS,2085000,2/7/05,57.5,A,48.6,A,52.7,A,2.21,A,2.12,A,2.16,A
USGS,2085000,2/8/05,51.5,A,43.1,A,47.4,A,2.15,A,2.06,A,2.11,A
USGS,2085000,2/9/05,44.9,A,41.3,A,42.9,A,2.08,A,2.04,A,2.06,A
USGS,2085000,2/10/05,52.5,A,42.2,A,48.4,A,2.16,A,2.05,A,2.12,A
USGS,2085000,2/11/05,48.6,A,36.3,A,41.8,A,2.12,A,1.98,A,2.04,A
USGS,2085000,2/12/05,39.6,A,32.6,A,35.9,A,2.02,A,1.93,A,1.97,A
USGS,2085000,2/13/05,37.1,A,30.7,A,33.7,A,1.99,A,1.9,A,1.94,A
USGS,2085000,2/14/05,46.7,A,31.3,A,39.4,A,2.1,A,1.91,A,2.02,A
USGS,2085000,2/15/05,65.0,A,46.7,A,57.5,A,2.28,A,2.1,A,2.21,A
USGS,2085000,2/16/05,54.4,A,44.9,A,49.2,A,2.18,A,2.08,A,2.13,A
USGS,2085000,2/17/05,48.6,A,35.6,A,41.5,A,2.12,A,1.97,A,2.04,A
USGS,2085000,2/18/05,38.0,A,29.4,A,32.7,A,2.0,A,1.88,A,1.93,A
USGS,2085000,2/19/05,30.0,A,25.5,A,28.3,A,1.89,A,1.82,A,1.86,A
USGS,2085000,2/20/05,30.7,A,25.5,A,28.0,A,1.9,A,1.82,A,1.86,A
USGS,2085000,2/21/05,31.3,A,27.5,A,29.9,A,1.91,A,1.85,A,1.89,A
USGS,2085000,2/22/05,33.3,A,29.4,A,31.9,A,1.94,A,1.88,A,1.92,A
USGS,2085000,2/23/05,32.0,A,25.5,A,28.9,A,1.92,A,1.82,A,1.87,A
USGS,2085000,2/24/05,116.0,A,26.8,A,57.8,A,2.72,A,1.84,A,2.18,A
USGS,2085000,2/25/05,115.0,A,67.2,A,84.5,A,2.71,A,2.3,A,2.45,A
USGS,2085000,2/26/05,67.2,A,45.8,A,55.2,A,2.3,A,2.09,A,2.19,A
USGS,2085000,2/27/05,48.6,A,38.8,A,42.8,A,2.12,A,2.01,A,2.06,A
USGS,2085000,2/28/05,392.0,A,44.0,A,242.0,A,4.34,A,2.07,A,3.44,A
USGS,2085000,3/1/05,310.0,A,137.0,A,202.0,A,3.89,A,2.88,A,3.28,A
USGS,2085000,3/2/05,137.0,A,88.0,A,109.0,A,2.88,A,2.49,A,2.66,A
USGS,2085000,3/3/05,88.0,A,63.9,A,75.8,A,2.49,A,2.27,A,2.38,A
USGS,2085000,3/4/05,63.9,A,51.5,A,57.6,A,2.27,A,2.15,A,2.21,A
USGS,2085000,3/5/05,54.4,A,48.6,A,51.4,A,2.18,A,2.12,A,2.15,A
USGS,2085000,3/6/05,51.5,A,44.0,A,48.0,A,2.15,A,2.07,A,2.11,A
USGS,2085000,3/7/05,44.9,A,38.8,A,41.5,A,2.08,A,2.01,A,2.04,A
USGS,2085000,3/8/05,316.0,A,38.8,A,147.0,A,3.92,A,2.01,A,2.84,A
USGS,2085000,3/9/05,184.0,A,90.3,A,120.0,A,3.18,A,2.51,A,2.74,A
USGS,2085000,3/10/05,90.3,A,67.2,A,79.1,A,2.51,A,2.3,A,2.41,A
USGS,2085000,3/11/05,71.8,A,57.5,A,64.1,A,2.34,A,2.21,A,2.27,A
USGS,2085000,3/12/05,86.9,A,66.1,A,76.2,A,2.48,A,2.29,A,2.38,A
USGS,2085000,3/13/05,66.1,A,49.5,A,55.7,A,2.29,A,2.13,A,2.19,A
USGS,2085000,3/14/05,56.5,A,50.5,A,53.9,A,2.2,A,2.14,A,2.17,A
USGS,2085000,3/15/05,50.5,A,41.3,A,46.3,A,2.14,A,2.04,A,2.09,A
USGS,2085000,3/16/05,194.0,A,40.5,A,67.6,A,3.24,A,2.03,A,2.28,A
USGS,2085000,3/17/05,348.0,A,194.0,A,305.0,A,4.1,A,3.24,A,3.86,A
USGS,2085000,3/18/05,308.0,A,152.0,A,216.0,A,3.88,A,2.98,A,3.36,A
USGS,2085000,3/19/05,152.0,A,101.0,A,123.0,A,2.98,A,2.6,A,2.78,A
USGS,2085000,3/20/05,101.0,A,78.2,A,91.0,A,2.6,A,2.4,A,2.51,A
USGS,2085000,3/21/05,78.2,A,62.8,A,72.2,A,2.4,A,2.26,A,2.34,A
USGS,2085000,3/22/05,62.8,A,54.4,A,58.7,A,2.26,A,2.18,A,2.22,A
USGS,2085000,3/23/05,149.0,A,55.4,A,95.4,A,2.96,A,2.19,A,2.54,A
USGS,2085000,3/24/05,164.0,A,111.0,A,139.0,A,3.06,A,2.68,A,2.89,A
USGS,2085000,3/25/05,111.0,A,81.4,A,95.7,A,2.68,A,2.43,A,2.55,A
USGS,2085000,3/26/05,82.5,A,69.5,A,76.6,A,2.44,A,2.32,A,2.38,A
USGS,2085000,3/27/05,71.8,A,60.6,A,66.5,A,2.34,A,2.24,A,2.29,A
USGS,2085000,3/28/05,824.0,A,66.1,A,412.0,A,6.78,A,2.29,A,4.38,A
USGS,2085000,3/29/05,502.0,A,209.0,A,341.0,A,4.91,A,3.28,A,4.03,A
USGS,2085000,3/30/05,209.0,A,131.0,A,162.0,A,3.28,A,2.78,A,2.99,A
USGS,2085000,3/31/05,131.0,A,103.0,A,116.0,A,2.78,A,2.56,A,2.66,A
USGS,2085000,4/1/05,103.0,A,91.4,A,97.2,A,2.56,A,2.46,A,2.51,A
USGS,2085000,4/2/05,140.0,A,91.4,A,114.0,A,2.85,A,2.46,A,2.65,A
USGS,2085000,4/3/05,138.0,A,94.9,A,117.0,A,2.83,A,2.49,A,2.67,A
USGS,2085000,4/4/05,94.9,A,75.1,A,83.5,A,2.49,A,2.31,A,2.39,A
USGS,2085000,4/5/05,75.1,A,62.8,A,69.2,A,2.31,A,2.2,A,2.26,A
USGS,2085000,4/6/05,65.0,A,53.4,A,60.3,A,2.22,A,2.11,A,2.18,A
USGS,2085000,4/7/05,58.5,A,52.5,A,54.9,A,2.16,A,2.1,A,2.12,A
USGS,2085000,4/8/05,410.0,A,58.5,A,107.0,A,4.41,A,2.16,A,2.52,A
USGS,2085000,4/9/05,418.0,A,124.0,A,210.0,A,4.46,A,2.73,A,3.27,A
USGS,2085000,4/10/05,124.0,A,83.6,A,100.0,A,2.73,A,2.39,A,2.53,A
USGS,2085000,4/11/05,83.6,A,66.1,A,74.9,A,2.39,A,2.23,A,2.31,A
USGS,2085000,4/12/05,67.2,A,56.5,A,62.9,A,2.24,A,2.14,A,2.2,A
USGS,2085000,4/13/05,77.1,A,67.2,A,71.4,A,2.33,A,2.24,A,2.28,A
USGS,2085000,4/14/05,76.1,A,60.6,A,66.9,A,2.32,A,2.18,A,2.24,A
USGS,2085000,4/15/05,63.9,A,48.6,A,53.5,A,2.21,A,2.06,A,2.11,A
USGS,2085000,4/16/05,49.5,A,39.6,A,43.9,A,2.07,A,1.96,A,2.01,A
USGS,2085000,4/17/05,40.5,A,34.8,A,37.1,A,1.97,A,1.9,A,1.93,A
USGS,2085000,4/18/05,37.1,A,34.8,A,35.4,A,1.93,A,1.9,A,1.91,A
USGS,2085000,4/19/05,38.0,A,33.3,A,35.7,A,1.94,A,1.88,A,1.91,A
USGS,2085000,4/20/05,38.0,A,30.7,A,34.5,A,1.94,A,1.84,A,1.89,A
USGS,2085000,4/21/05,33.3,A,28.7,A,31.3,A,1.88,A,1.81,A,1.85,A
USGS,2085000,4/22/05,32.0,A,26.8,A,29.7,A,1.86,A,1.78,A,1.83,A
USGS,2085000,4/23/05,33.3,A,28.7,A,31.4,A,1.88,A,1.81,A,1.85,A
USGS,2085000,4/24/05,34.0,A,26.8,A,30.4,A,1.89,A,1.78,A,1.84,A
USGS,2085000,4/25/05,28.1,A,21.8,A,25.5,A,1.8,A,1.7,A,1.76,A
USGS,2085000,4/26/05,26.2,A,20.1,A,22.8,A,1.77,A,1.67,A,1.72,A
USGS,2085000,4/27/05,25.5,A,21.8,A,23.6,A,1.76,A,1.7,A,1.73,A
USGS,2085000,4/28/05,25.5,A,20.1,A,22.4,A,1.76,A,1.67,A,1.71,A
USGS,2085000,4/29/05,30.7,A,20.6,A,23.0,A,1.84,A,1.68,A,1.72,A
USGS,2085000,4/30/05,32.0,A,26.2,A,29.1,A,1.86,A,1.77,A,1.82,A
USGS,2085000,5/1/05,102.0,A,29.4,A,68.7,A,2.55,A,1.82,A,2.24,A
USGS,2085000,5/2/05,73.0,A,42.2,A,51.9,A,2.29,A,1.99,A,2.09,A
USGS,2085000,5/3/05,42.2,A,28.1,A,35.5,A,1.99,A,1.8,A,1.91,A
USGS,2085000,5/4/05,28.7,A,22.4,A,25.4,A,1.81,A,1.71,A,1.76,A
USGS,2085000,5/5/05,24.2,A,19.0,A,22.1,A,1.74,A,1.65,A,1.7,A
USGS,2085000,5/6/05,32.6,A,20.1,A,27.7,A,1.87,A,1.67,A,1.79,A
USGS,2085000,5/7/05,30.7,A,21.8,A,27.0,A,1.84,A,1.7,A,1.78,A
USGS,2085000,5/8/05,27.5,A,20.1,A,23.2,A,1.79,A,1.67,A,1.72,A
USGS,2085000,5/9/05,23.6,A,16.0,A,19.0,A,1.73,A,1.59,A,1.65,A
USGS,2085000,5/10/05,18.5,A,14.1,A,15.7,A,1.64,A,1.55,A,1.58,A
USGS,2085000,5/11/05,17.0,A,12.8,A,14.8,A,1.61,A,1.52,A,1.56,A
USGS,2085000,5/12/05,27.5,A,12.4,A,15.2,A,1.79,A,1.51,A,1.57,A
USGS,2085000,5/13/05,102.0,A,14.1,A,50.9,A,2.55,A,1.55,A,2.06,A
USGS,2085000,5/14/05,24.9,A,15.5,A,21.2,A,1.75,A,1.58,A,1.69,A
USGS,2085000,5/15/05,18.5,A,14.1,A,16.2,A,1.64,A,1.55,A,1.59,A
USGS,2085000,5/16/05,19.5,A,13.7,A,16.7,A,1.66,A,1.54,A,1.6,A
USGS,2085000,5/17/05,13.7,A,12.0,A,12.8,A,1.54,A,1.5,A,1.52,A
USGS,2085000,5/18/05,12.4,A,9.94,A,10.8,A,1.51,A,1.43,A,1.46,A
USGS,2085000,5/19/05,146.0,A,9.94,A,36.9,A,2.89,A,1.43,A,1.79,A
USGS,2085000,5/20/05,152.0,A,51.5,A,86.7,A,2.93,A,2.09,A,2.41,A
USGS,2085000,5/21/05,113.0,A,57.5,A,88.1,A,2.65,A,2.15,A,2.43,A
USGS,2085000,5/22/05,57.5,A,26.2,A,36.7,A,2.15,A,1.77,A,1.91,A
USGS,2085000,5/23/05,28.1,A,17.0,A,21.7,A,1.8,A,1.61,A,1.69,A
USGS,2085000,5/24/05,17.0,A,14.1,A,16.0,A,1.61,A,1.55,A,1.59,A
USGS,2085000,5/25/05,17.5,A,12.8,A,14.6,A,1.62,A,1.52,A,1.56,A
USGS,2085000,5/26/05,15.5,A,10.5,A,12.9,A,1.58,A,1.45,A,1.52,A
USGS,2085000,5/27/05,11.3,A,9.12,A,10.5,A,1.48,A,1.4,A,1.45,A
USGS,2085000,5/28/05,11.3,A,8.33,A,9.92,A,1.48,A,1.37,A,1.43,A
USGS,2085000,5/29/05,11.0,A,7.83,A,9.38,A,1.47,A,1.35,A,1.41,A
USGS,2085000,5/30/05,9.94,A,7.58,A,8.71,A,1.43,A,1.34,A,1.38,A
USGS,2085000,5/31/05,9.94,A,7.83,A,8.41,A,1.43,A,1.35,A,1.37,A
USGS,2085000,6/1/05,9.39,A,7.58,A,8.05,A,1.41,A,1.34,A,1.36,A
USGS,2085000,6/2/05,22.4,A,7.83,A,15.4,A,1.71,A,1.35,A,1.56,A
USGS,2085000,6/3/05,92.6,A,21.8,A,35.3,A,2.47,A,1.7,A,1.88,A
USGS,2085000,6/4/05,26.8,A,16.5,A,21.8,A,1.78,A,1.6,A,1.7,A
USGS,2085000,6/5/05,18.0,A,12.4,A,15.3,A,1.63,A,1.51,A,1.57,A
USGS,2085000,6/6/05,29.4,A,11.0,A,14.2,A,1.82,A,1.47,A,1.54,A
USGS,2085000,6/7/05,70.6,A,10.2,A,19.7,A,2.27,A,1.44,A,1.62,A
USGS,2085000,6/8/05,55.4,A,25.5,A,36.3,A,2.13,A,1.76,A,1.91,A
USGS,2085000,6/9/05,32.0,A,18.0,A,23.9,A,1.86,A,1.63,A,1.73,A
USGS,2085000,6/10/05,169.0,A,30.7,A,118.0,A,3.04,A,1.84,A,2.68,A
