CAS No.,Chemical Name,Species Name,Common Name,Effect,Measurement,Endpoint,Dur (Std),Conc. Type,Conc. Mean (Std),Conc. Units (Std),Pub. Year,Citation
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,28,Formulation,4.10E-05,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
111988499,Thiacloprid,Gammarus fossarum,Scud,Mortality,Mortality,NR-ZERO,7,Active ingredient,7.00E-05,AI mg/L,2017,"Englert,D., J.P. Zubrod, M. Link, S. Mertins, R. Schulz, and M. Bundschuh. Does Waterborne Exposure Explain Effects Caused by Neonicotinoid-Contaminated Plant Material in Aquatic Systems?. Environ. Sci. Technol.51(10): 5793-5802, 2017. ECOREF #175425"
138261413,Imidacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,28,Formulation,0.000195,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Caenis horaria,Mayfly,Mortality,Mortality,LC10,28,Formulation,0.000235,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
111988499,Thiacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,21,Active ingredient,0.00024,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
111988499,Thiacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,28,Active ingredient,0.00027,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
111988499,Thiacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC10,14,Active ingredient,0.0003,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
111988499,Thiacloprid,Cloeon dipterum,Mayfly,Mortality,Mortality,LC50,28,Active ingredient,0.0003,AI mg/L,2016,"Van den Brink,P.J., J.M. Van Smeden, R.S. Bekele, W. Dierick, D.M. De Gelder, M. Noteboom, and I. Roessink. Acute and Chronic Toxicity of Neonicotinoids to Nymphs of a Mayfly Species and Some Notes on Seasonal Differences. Environ. Toxicol. Chem.35(1): 128-133, 2016. ECOREF #173151"
138261413,Imidacloprid,Caenis horaria,Mayfly,Mortality,Mortality,LC50,28,Formulation,0.000316,AI mg/L,2013,"Roessink,I., L.B. Merga, H.J. Zweers, and P.J. Van den Brink. The Neonicotinoid Imidacloprid Shows High Chronic Toxicity to Mayfly Nymphs. Environ. Toxicol. Chem.32(5): 1096-1100, 2013. ECOREF #166772"
138261413,Imidacloprid,Hyalella sp.,Scud,Mortality,Mortality,NOEL,4,Active ingredient,0.00035,AI mg/L,1992,"U.S. Environmental Protection Agency. Pesticide Ecotoxicity Database (Formerly:  Environmental Effects Database (EEDB)). Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:, 1992. ECOREF #344"
