Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
3/1/17,AQS,370030005,1,0.041,ppm,38,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/2/17,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/3/17,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/4/17,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/5/17,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/6/17,AQS,370030005,1,0.048,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/7/17,AQS,370030005,1,0.047,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/8/17,AQS,370030005,1,0.053,ppm,49,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/9/17,AQS,370030005,1,0.056,ppm,54,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/10/17,AQS,370030005,1,0.048,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/11/17,AQS,370030005,1,0.049,ppm,45,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/12/17,AQS,370030005,1,0.044,ppm,41,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/13/17,AQS,370030005,1,0.043,ppm,40,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/14/17,AQS,370030005,1,0.042,ppm,39,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/15/17,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/16/17,AQS,370030005,1,0.05,ppm,46,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/17/17,AQS,370030005,1,0.047,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/18/17,AQS,370030005,1,0.05,ppm,46,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/19/17,AQS,370030005,1,0.04,ppm,37,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/20/17,AQS,370030005,1,0.045,ppm,42,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/21/17,AQS,370030005,1,0.053,ppm,49,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/22/17,AQS,370030005,1,0.053,ppm,49,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/23/17,AQS,370030005,1,0.051,ppm,47,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/24/17,AQS,370030005,1,0.052,ppm,48,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/25/17,AQS,370030005,1,0.05,ppm,46,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/26/17,AQS,370030005,1,0.034,ppm,31,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/27/17,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/28/17,AQS,370030005,1,0.053,ppm,49,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/29/17,AQS,370030005,1,0.056,ppm,54,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/30/17,AQS,370030005,1,0.037,ppm,34,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
3/31/17,AQS,370030005,1,0.044,ppm,41,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/1/17,AQS,370030005,1,0.043,ppm,40,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/2/17,AQS,370030005,1,0.045,ppm,42,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/3/17,AQS,370030005,1,0.028,ppm,26,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/4/17,AQS,370030005,1,0.052,ppm,48,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/5/17,AQS,370030005,1,0.04,ppm,37,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/6/17,AQS,370030005,1,0.041,ppm,38,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/7/17,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/8/17,AQS,370030005,1,0.056,ppm,54,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/9/17,AQS,370030005,1,0.06,ppm,67,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/10/17,AQS,370030005,1,0.059,ppm,64,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/11/17,AQS,370030005,1,0.062,ppm,74,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/12/17,AQS,370030005,1,0.053,ppm,49,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/13/17,AQS,370030005,1,0.061,ppm,71,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/14/17,AQS,370030005,1,0.053,ppm,49,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/15/17,AQS,370030005,1,0.055,ppm,51,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/16/17,AQS,370030005,1,0.05,ppm,46,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/17/17,AQS,370030005,1,0.043,ppm,40,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/18/17,AQS,370030005,1,0.045,ppm,42,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/19/17,AQS,370030005,1,0.033,ppm,31,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/20/17,AQS,370030005,1,0.041,ppm,38,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/21/17,AQS,370030005,1,0.041,ppm,38,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/22/17,AQS,370030005,1,0.04,ppm,37,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/23/17,AQS,370030005,1,0.027,ppm,25,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/24/17,AQS,370030005,1,0.028,ppm,26,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/25/17,AQS,370030005,1,0.033,ppm,31,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/26/17,AQS,370030005,1,0.047,ppm,44,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/27/17,AQS,370030005,1,0.037,ppm,34,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/28/17,AQS,370030005,1,0.044,ppm,41,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/29/17,AQS,370030005,1,0.036,ppm,33,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
4/30/17,AQS,370030005,1,0.028,ppm,26,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
5/1/17,AQS,370030005,1,0.036,ppm,33,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
5/2/17,AQS,370030005,1,0.051,ppm,47,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
5/3/17,AQS,370030005,1,0.052,ppm,48,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
5/4/17,AQS,370030005,1,0.046,ppm,43,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
5/5/17,AQS,370030005,1,0.04,ppm,37,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
5/6/17,AQS,370030005,1,0.043,ppm,40,Taylorsville Liledoun,17,100,44201,Ozone,25860,"Hickory-Lenoir-Morganton, NC",37,North Carolina,3,Alexander,35.9138,-81.191
